Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Acacia Creek,Non-domestic violence related assault ,Not Alcohol Related ,0,0,1,0,0
Acacia Creek,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Acacia Creek,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Acacia Creek,Offensive language ,Alcohol Related ,0,0,0,0,0
Acacia Creek,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Acacia Gardens,Domestic violence related assault ,Alcohol Related ,4,1,1,3,2
Acacia Gardens,Domestic violence related assault ,Not Alcohol Related ,3,7,5,2,5
Acacia Gardens,Non-domestic violence related assault ,Alcohol Related ,1,0,0,1,0
Acacia Gardens,Non-domestic violence related assault ,Not Alcohol Related ,4,2,1,1,3
Acacia Gardens,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Acacia Gardens,Offensive conduct ,Not Alcohol Related ,0,0,0,1,0
Acacia Gardens,Offensive language ,Alcohol Related ,0,0,0,0,0
Acacia Gardens,Offensive language ,Not Alcohol Related ,1,0,0,1,0
Adaminaby,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Adaminaby,Domestic violence related assault ,Not Alcohol Related ,0,1,0,0,0
Adaminaby,Non-domestic violence related assault ,Alcohol Related ,1,0,1,0,0
Adaminaby,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Adaminaby,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Adaminaby,Offensive conduct ,Not Alcohol Related ,0,0,0,0,1
Adaminaby,Offensive language ,Alcohol Related ,0,0,0,0,0
Adaminaby,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Adamstown,Domestic violence related assault ,Alcohol Related ,7,9,9,9,13
Adamstown,Domestic violence related assault ,Not Alcohol Related ,20,22,10,6,15
Adamstown,Non-domestic violence related assault ,Alcohol Related ,11,6,4,5,12
Adamstown,Non-domestic violence related assault ,Not Alcohol Related ,12,16,15,18,15
Adamstown,Offensive conduct ,Alcohol Related ,3,2,0,1,0
Adamstown,Offensive conduct ,Not Alcohol Related ,0,1,1,1,2
Adamstown,Offensive language ,Alcohol Related ,1,0,0,0,1
Adamstown,Offensive language ,Not Alcohol Related ,1,1,1,0,0
Adamstown Heights,Domestic violence related assault ,Alcohol Related ,3,1,6,2,2
Adamstown Heights,Domestic violence related assault ,Not Alcohol Related ,4,3,3,4,3
Adamstown Heights,Non-domestic violence related assault ,Alcohol Related ,2,5,1,1,0
