Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Barrack Heights,Offensive conduct ,Not Alcohol Related ,0,1,1,1,0
Barrack Heights,Offensive language ,Alcohol Related ,0,3,1,0,1
Barrack Heights,Offensive language ,Not Alcohol Related ,5,0,0,1,0
Barrack Point,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barrack Point,Domestic violence related assault ,Not Alcohol Related ,0,0,0,2,0
Barrack Point,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barrack Point,Non-domestic violence related assault ,Not Alcohol Related ,0,1,0,0,1
Barrack Point,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barrack Point,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barrack Point,Offensive language ,Alcohol Related ,0,0,0,0,0
Barrack Point,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barraganyatti,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barraganyatti,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barraganyatti,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barraganyatti,Non-domestic violence related assault ,Not Alcohol Related ,1,0,0,0,0
Barraganyatti,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barraganyatti,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barraganyatti,Offensive language ,Alcohol Related ,0,0,0,0,0
Barraganyatti,Offensive language ,Not Alcohol Related ,0,0,0,1,0
Barragga Bay,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Barragga Bay,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barragga Bay,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barragga Bay,Non-domestic violence related assault ,Not Alcohol Related ,0,0,1,1,0
Barragga Bay,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barragga Bay,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barragga Bay,Offensive language ,Alcohol Related ,0,0,0,0,0
Barragga Bay,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barrengarry,Domestic violence related assault ,Alcohol Related ,0,1,0,0,1
Barrengarry,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Barrengarry,Non-domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Barrengarry,Non-domestic violence related assault ,Not Alcohol Related ,0,1,0,1,0
Barrengarry,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barrengarry,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barrengarry,Offensive language ,Alcohol Related ,0,0,0,0,0
Barrengarry,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barretts Creek,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barretts Creek,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barretts Creek,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barretts Creek,Non-domestic violence related assault ,Not Alcohol Related ,1,0,0,0,0
Barretts Creek,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barretts Creek,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barretts Creek,Offensive language ,Alcohol Related ,0,0,0,0,0
Barretts Creek,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barringella,Domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Barringella,Domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Barringella,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barringella,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barringella,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barringella,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barringella,Offensive language ,Alcohol Related ,0,0,0,0,0
Barringella,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barrington,Domestic violence related assault ,Alcohol Related ,0,0,1,0,1
Barrington,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barrington,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barrington,Non-domestic violence related assault ,Not Alcohol Related ,0,1,0,0,0
Barrington,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barrington,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barrington,Offensive language ,Alcohol Related ,0,0,0,0,0
Barrington,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barrington Tops,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barrington Tops,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barrington Tops,Non-domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Barrington Tops,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barrington Tops,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barrington Tops,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barrington Tops,Offensive language ,Alcohol Related ,0,0,0,0,0
Barrington Tops,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Barry (Blayney),Domestic violence related assault ,Alcohol Related ,0,0,0,0,1
Barry (Blayney),Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barry (Blayney),Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Barry (Blayney),Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Barry (Blayney),Offensive conduct ,Alcohol Related ,0,0,0,0,0
Barry (Blayney),Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Barry (Blayney),Offensive language ,Alcohol Related ,0,0,0,0,0
Barry (Blayney),Offensive language ,Not Alcohol Related ,0,0,0,0,0
Baryulgil,Domestic violence related assault ,Alcohol Related ,0,2,2,0,0
Baryulgil,Domestic violence related assault ,Not Alcohol Related ,0,3,3,0,0
Baryulgil,Non-domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Baryulgil,Non-domestic violence related assault ,Not Alcohol Related ,2,0,1,1,0
Baryulgil,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Baryulgil,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Baryulgil,Offensive language ,Alcohol Related ,0,0,0,0,0
Baryulgil,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Basin View,Domestic violence related assault ,Alcohol Related ,1,1,2,1,2
Basin View,Domestic violence related assault ,Not Alcohol Related ,4,1,0,2,4
Basin View,Non-domestic violence related assault ,Alcohol Related ,0,0,0,2,0
Basin View,Non-domestic violence related assault ,Not Alcohol Related ,2,1,0,0,2
Basin View,Offensive conduct ,Alcohol Related ,1,0,0,0,0
Basin View,Offensive conduct ,Not Alcohol Related ,1,0,0,1,0
Basin View,Offensive language ,Alcohol Related ,0,0,0,0,0
Basin View,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bass Hill,Domestic violence related assault ,Alcohol Related ,8,13,16,6,7
Bass Hill,Domestic violence related assault ,Not Alcohol Related ,24,41,54,39,25
Bass Hill,Non-domestic violence related assault ,Alcohol Related ,4,8,8,6,2
Bass Hill,Non-domestic violence related assault ,Not Alcohol Related ,15,29,30,37,32
Bass Hill,Offensive conduct ,Alcohol Related ,0,1,1,0,0
Bass Hill,Offensive conduct ,Not Alcohol Related ,0,2,2,1,1
Bass Hill,Offensive language ,Alcohol Related ,0,1,0,0,0
Bass Hill,Offensive language ,Not Alcohol Related ,2,3,1,0,1
Bateau Bay,Domestic violence related assault ,Alcohol Related ,17,10,26,14,20
Bateau Bay,Domestic violence related assault ,Not Alcohol Related ,27,30,25,37,41
Bateau Bay,Non-domestic violence related assault ,Alcohol Related ,21,18,24,10,6
Bateau Bay,Non-domestic violence related assault ,Not Alcohol Related ,19,33,31,31,27
Bateau Bay,Offensive conduct ,Alcohol Related ,1,1,2,1,1
Bateau Bay,Offensive conduct ,Not Alcohol Related ,1,2,2,1,0
Bateau Bay,Offensive language ,Alcohol Related ,0,1,1,0,3
Bateau Bay,Offensive language ,Not Alcohol Related ,0,0,2,2,1
Batehaven,Domestic violence related assault ,Alcohol Related ,6,0,7,7,6
Batehaven,Domestic violence related assault ,Not Alcohol Related ,8,6,8,5,4
Batehaven,Non-domestic violence related assault ,Alcohol Related ,5,5,6,7,7
Batehaven,Non-domestic violence related assault ,Not Alcohol Related ,20,9,16,13,6
Batehaven,Offensive conduct ,Alcohol Related ,3,5,3,2,0
Batehaven,Offensive conduct ,Not Alcohol Related ,0,0,1,0,1
Batehaven,Offensive language ,Alcohol Related ,5,1,0,1,1
Batehaven,Offensive language ,Not Alcohol Related ,2,4,2,1,2
Batemans Bay,Domestic violence related assault ,Alcohol Related ,9,15,11,9,5
Batemans Bay,Domestic violence related assault ,Not Alcohol Related ,18,16,13,11,12
Batemans Bay,Non-domestic violence related assault ,Alcohol Related ,17,29,30,32,29
Batemans Bay,Non-domestic violence related assault ,Not Alcohol Related ,35,24,26,28,22
Batemans Bay,Offensive conduct ,Alcohol Related ,14,25,25,20,11
Batemans Bay,Offensive conduct ,Not Alcohol Related ,5,8,9,5,6
Batemans Bay,Offensive language ,Alcohol Related ,13,19,13,9,5
Batemans Bay,Offensive language ,Not Alcohol Related ,6,3,9,5,3
Bathurst,Domestic violence related assault ,Alcohol Related ,16,18,12,16,16
Bathurst,Domestic violence related assault ,Not Alcohol Related ,51,39,27,32,39
Bathurst,Non-domestic violence related assault ,Alcohol Related ,49,44,53,44,54
Bathurst,Non-domestic violence related assault ,Not Alcohol Related ,58,62,44,86,84
Bathurst,Offensive conduct ,Alcohol Related ,23,16,14,24,18
Bathurst,Offensive conduct ,Not Alcohol Related ,5,7,5,7,6
Bathurst,Offensive language ,Alcohol Related ,4,4,2,9,7
Bathurst,Offensive language ,Not Alcohol Related ,3,6,4,8,4
Batlow,Domestic violence related assault ,Alcohol Related ,12,4,6,4,4
Batlow,Domestic violence related assault ,Not Alcohol Related ,6,13,6,3,3
Batlow,Non-domestic violence related assault ,Alcohol Related ,4,0,4,1,1
Batlow,Non-domestic violence related assault ,Not Alcohol Related ,6,6,3,4,2
Batlow,Offensive conduct ,Alcohol Related ,1,0,0,1,1
Batlow,Offensive conduct ,Not Alcohol Related ,0,3,0,0,0
Batlow,Offensive language ,Alcohol Related ,2,1,0,0,2
Batlow,Offensive language ,Not Alcohol Related ,1,0,0,0,0
Baulkham Hills,Domestic violence related assault ,Alcohol Related ,14,7,9,9,15
Baulkham Hills,Domestic violence related assault ,Not Alcohol Related ,35,41,46,32,33
Baulkham Hills,Non-domestic violence related assault ,Alcohol Related ,10,9,5,8,3
Baulkham Hills,Non-domestic violence related assault ,Not Alcohol Related ,37,28,40,39,28
Baulkham Hills,Offensive conduct ,Alcohol Related ,0,1,0,0,2
Baulkham Hills,Offensive conduct ,Not Alcohol Related ,1,1,0,1,1
Baulkham Hills,Offensive language ,Alcohol Related ,0,0,0,0,0
Baulkham Hills,Offensive language ,Not Alcohol Related ,2,0,1,2,1
Baw Baw,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Baw Baw,Domestic violence related assault ,Not Alcohol Related ,1,0,1,0,0
Baw Baw,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Baw Baw,Non-domestic violence related assault ,Not Alcohol Related ,0,0,1,0,0
Baw Baw,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Baw Baw,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Baw Baw,Offensive language ,Alcohol Related ,0,0,0,0,0
Baw Baw,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bawley Point,Domestic violence related assault ,Alcohol Related ,0,1,1,1,2
Bawley Point,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Bawley Point,Non-domestic violence related assault ,Alcohol Related ,1,1,0,0,1
Bawley Point,Non-domestic violence related assault ,Not Alcohol Related ,1,0,1,1,1
Bawley Point,Offensive conduct ,Alcohol Related ,1,0,0,0,0
Bawley Point,Offensive conduct ,Not Alcohol Related ,0,0,0,1,0
Bawley Point,Offensive language ,Alcohol Related ,0,1,0,0,0
Bawley Point,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bayview,Domestic violence related assault ,Alcohol Related ,0,0,1,0,1
Bayview,Domestic violence related assault ,Not Alcohol Related ,2,2,0,1,3
Bayview,Non-domestic violence related assault ,Alcohol Related ,0,2,0,1,0
Bayview,Non-domestic violence related assault ,Not Alcohol Related ,1,3,6,4,2
Bayview,Offensive conduct ,Alcohol Related ,0,1,0,0,0
Bayview,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bayview,Offensive language ,Alcohol Related ,0,0,0,0,0
Bayview,Offensive language ,Not Alcohol Related ,0,0,1,0,0
Beacon Hill,Domestic violence related assault ,Alcohol Related ,1,4,4,1,2
Beacon Hill,Domestic violence related assault ,Not Alcohol Related ,8,5,6,7,7
Beacon Hill,Non-domestic violence related assault ,Alcohol Related ,2,3,1,3,4
Beacon Hill,Non-domestic violence related assault ,Not Alcohol Related ,6,5,6,1,5
Beacon Hill,Offensive conduct ,Alcohol Related ,1,0,0,0,0
Beacon Hill,Offensive conduct ,Not Alcohol Related ,1,0,0,0,0
Beacon Hill,Offensive language ,Alcohol Related ,0,1,0,0,0
Beacon Hill,Offensive language ,Not Alcohol Related ,0,0,0,1,1
Beaconsfield,Domestic violence related assault ,Alcohol Related ,0,1,0,0,1
Beaconsfield,Domestic violence related assault ,Not Alcohol Related ,1,1,3,5,3
Beaconsfield,Non-domestic violence related assault ,Alcohol Related ,0,0,0,1,3
Beaconsfield,Non-domestic violence related assault ,Not Alcohol Related ,3,0,1,0,0
Beaconsfield,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beaconsfield,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beaconsfield,Offensive language ,Alcohol Related ,0,0,0,0,0
Beaconsfield,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Beaumont Hills,Domestic violence related assault ,Alcohol Related ,1,2,1,2,3
Beaumont Hills,Domestic violence related assault ,Not Alcohol Related ,11,9,10,12,13
Beaumont Hills,Non-domestic violence related assault ,Alcohol Related ,1,2,1,0,0
Beaumont Hills,Non-domestic violence related assault ,Not Alcohol Related ,2,6,4,4,5
Beaumont Hills,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beaumont Hills,Offensive conduct ,Not Alcohol Related ,1,0,0,0,0
Beaumont Hills,Offensive language ,Alcohol Related ,0,0,0,0,0
Beaumont Hills,Offensive language ,Not Alcohol Related ,0,0,0,0,1
Beckom,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Beckom,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Beckom,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Beckom,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Beckom,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beckom,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beckom,Offensive language ,Alcohol Related ,0,0,0,0,0
Beckom,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bective,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bective,Domestic violence related assault ,Not Alcohol Related ,0,0,2,0,0
Bective,Non-domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Bective,Non-domestic violence related assault ,Not Alcohol Related ,0,0,1,0,0
Bective,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bective,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bective,Offensive language ,Alcohol Related ,0,0,0,0,0
Bective,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bedgerabong,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bedgerabong,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Bedgerabong,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bedgerabong,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Bedgerabong,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bedgerabong,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bedgerabong,Offensive language ,Alcohol Related ,0,0,0,0,0
Bedgerabong,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Beechwood,Domestic violence related assault ,Alcohol Related ,1,1,2,1,0
Beechwood,Domestic violence related assault ,Not Alcohol Related ,0,2,0,0,0
Beechwood,Non-domestic violence related assault ,Alcohol Related ,0,4,0,1,2
Beechwood,Non-domestic violence related assault ,Not Alcohol Related ,1,1,0,0,1
Beechwood,Offensive conduct ,Alcohol Related ,0,0,1,0,0
Beechwood,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beechwood,Offensive language ,Alcohol Related ,0,1,0,0,0
Beechwood,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Beecroft,Domestic violence related assault ,Alcohol Related ,0,2,2,3,3
Beecroft,Domestic violence related assault ,Not Alcohol Related ,5,4,4,5,14
Beecroft,Non-domestic violence related assault ,Alcohol Related ,1,2,6,2,1
Beecroft,Non-domestic violence related assault ,Not Alcohol Related ,4,4,3,5,2
Beecroft,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beecroft,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beecroft,Offensive language ,Alcohol Related ,0,1,0,0,0
Beecroft,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Beecroft Peninsula,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Non-domestic violence related assault ,Not Alcohol Related ,0,1,0,0,0
Beecroft Peninsula,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Offensive language ,Alcohol Related ,0,0,0,0,0
Beecroft Peninsula,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Beelbangera,Domestic violence related assault ,Alcohol Related ,0,0,1,0,0
Beelbangera,Domestic violence related assault ,Not Alcohol Related ,5,3,3,0,1
Beelbangera,Non-domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Beelbangera,Non-domestic violence related assault ,Not Alcohol Related ,0,1,1,0,0
Beelbangera,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Beelbangera,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Beelbangera,Offensive language ,Alcohol Related ,0,0,0,0,0
Beelbangera,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bega,Domestic violence related assault ,Alcohol Related ,6,16,8,7,6
Bega,Domestic violence related assault ,Not Alcohol Related ,16,28,20,15,12
Bega,Non-domestic violence related assault ,Alcohol Related ,16,25,21,17,5
Bega,Non-domestic violence related assault ,Not Alcohol Related ,29,17,25,21,26
Bega,Offensive conduct ,Alcohol Related ,8,14,5,4,6
Bega,Offensive conduct ,Not Alcohol Related ,2,0,1,1,3
Bega,Offensive language ,Alcohol Related ,9,8,8,9,13
Bega,Offensive language ,Not Alcohol Related ,7,3,5,0,6
Belbora,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belbora,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Belbora,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belbora,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Belbora,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Belbora,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Belbora,Offensive language ,Alcohol Related ,0,0,0,0,0
Belbora,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Belfield,Domestic violence related assault ,Alcohol Related ,4,1,2,5,4
Belfield,Domestic violence related assault ,Not Alcohol Related ,18,12,21,10,22
Belfield,Non-domestic violence related assault ,Alcohol Related ,2,2,2,1,1
Belfield,Non-domestic violence related assault ,Not Alcohol Related ,11,5,9,12,7
Belfield,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Belfield,Offensive conduct ,Not Alcohol Related ,0,0,0,1,0
Belfield,Offensive language ,Alcohol Related ,0,0,0,0,0
Belfield,Offensive language ,Not Alcohol Related ,2,1,0,1,0
Belford,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belford,Domestic violence related assault ,Not Alcohol Related ,1,1,0,1,0
Belford,Non-domestic violence related assault ,Alcohol Related ,1,1,0,1,1
Belford,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Belford,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Belford,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Belford,Offensive language ,Alcohol Related ,0,0,0,0,0
Belford,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Belfrayden,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belfrayden,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Belfrayden,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belfrayden,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Belfrayden,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Belfrayden,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Belfrayden,Offensive language ,Alcohol Related ,0,0,0,0,0
Belfrayden,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Belimbla Park,Domestic violence related assault ,Alcohol Related ,0,1,1,0,0
Belimbla Park,Domestic violence related assault ,Not Alcohol Related ,1,1,3,9,2
Belimbla Park,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Belimbla Park,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,1,1
Belimbla Park,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Belimbla Park,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Belimbla Park,Offensive language ,Alcohol Related ,0,0,0,0,0
Belimbla Park,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bell,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bell,Domestic violence related assault ,Not Alcohol Related ,0,0,1,0,0
Bell,Non-domestic violence related assault ,Alcohol Related ,1,0,0,0,0
Bell,Non-domestic violence related assault ,Not Alcohol Related ,1,0,0,0,1
Bell,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bell,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bell,Offensive language ,Alcohol Related ,0,0,0,0,0
Bell,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bella Vista,Domestic violence related assault ,Alcohol Related ,1,0,1,4,3
Bella Vista,Domestic violence related assault ,Not Alcohol Related ,2,11,12,4,7
Bella Vista,Non-domestic violence related assault ,Alcohol Related ,7,7,3,6,5
Bella Vista,Non-domestic violence related assault ,Not Alcohol Related ,8,7,7,2,6
Bella Vista,Offensive conduct ,Alcohol Related ,0,0,0,0,1
Bella Vista,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bella Vista,Offensive language ,Alcohol Related ,0,0,0,0,1
Bella Vista,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bellambi,Domestic violence related assault ,Alcohol Related ,10,12,12,8,8
Bellambi,Domestic violence related assault ,Not Alcohol Related ,23,15,23,24,22
Bellambi,Non-domestic violence related assault ,Alcohol Related ,15,10,5,5,5
Bellambi,Non-domestic violence related assault ,Not Alcohol Related ,39,22,20,28,22
Bellambi,Offensive conduct ,Alcohol Related ,1,2,1,1,0
Bellambi,Offensive conduct ,Not Alcohol Related ,2,1,1,1,1
Bellambi,Offensive language ,Alcohol Related ,0,1,1,0,1
Bellambi,Offensive language ,Not Alcohol Related ,2,3,1,0,1
Bellangry,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bellangry,Domestic violence related assault ,Not Alcohol Related ,1,0,0,0,0
Bellangry,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bellangry,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,1
Bellangry,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bellangry,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bellangry,Offensive language ,Alcohol Related ,0,0,0,0,0
Bellangry,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bellata,Domestic violence related assault ,Alcohol Related ,2,1,0,1,0
Bellata,Domestic violence related assault ,Not Alcohol Related ,0,1,1,0,0
Bellata,Non-domestic violence related assault ,Alcohol Related ,0,3,0,0,0
Bellata,Non-domestic violence related assault ,Not Alcohol Related ,0,1,0,0,0
Bellata,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bellata,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bellata,Offensive language ,Alcohol Related ,0,0,0,0,0
Bellata,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bellbird,Domestic violence related assault ,Alcohol Related ,4,0,7,4,1
Bellbird,Domestic violence related assault ,Not Alcohol Related ,12,4,5,6,11
Bellbird,Non-domestic violence related assault ,Alcohol Related ,0,2,4,2,0
Bellbird,Non-domestic violence related assault ,Not Alcohol Related ,0,1,4,3,3
Bellbird,Offensive conduct ,Alcohol Related ,0,1,0,0,0
Bellbird,Offensive conduct ,Not Alcohol Related ,0,0,0,1,0
Bellbird,Offensive language ,Alcohol Related ,0,0,1,0,0
Bellbird,Offensive language ,Not Alcohol Related ,1,0,1,0,0
Bellbird Heights,Domestic violence related assault ,Alcohol Related ,2,1,1,0,0
Bellbird Heights,Domestic violence related assault ,Not Alcohol Related ,11,7,3,3,4
Bellbird Heights,Non-domestic violence related assault ,Alcohol Related ,0,1,2,1,0
Bellbird Heights,Non-domestic violence related assault ,Not Alcohol Related ,3,1,2,0,2
Bellbird Heights,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bellbird Heights,Offensive conduct ,Not Alcohol Related ,0,0,1,0,0
Bellbird Heights,Offensive language ,Alcohol Related ,0,0,0,0,0
Bellbird Heights,Offensive language ,Not Alcohol Related ,1,1,0,0,0
Bellbrook,Domestic violence related assault ,Alcohol Related ,1,2,1,0,3
Bellbrook,Domestic violence related assault ,Not Alcohol Related ,3,0,1,0,1
Bellbrook,Non-domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Bellbrook,Non-domestic violence related assault ,Not Alcohol Related ,1,1,0,0,0
Bellbrook,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bellbrook,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bellbrook,Offensive language ,Alcohol Related ,0,0,0,0,0
Bellbrook,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bellevue Hill,Domestic violence related assault ,Alcohol Related ,3,9,7,7,4
Bellevue Hill,Domestic violence related assault ,Not Alcohol Related ,8,3,11,7,11
Bellevue Hill,Non-domestic violence related assault ,Alcohol Related ,1,2,4,2,3
Bellevue Hill,Non-domestic violence related assault ,Not Alcohol Related ,11,15,3,11,5
Bellevue Hill,Offensive conduct ,Alcohol Related ,0,1,0,0,0
Bellevue Hill,Offensive conduct ,Not Alcohol Related ,0,0,0,0,1
Bellevue Hill,Offensive language ,Alcohol Related ,0,0,1,0,0
Bellevue Hill,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Bellimbopinni,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bellimbopinni,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Bellimbopinni,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Bellimbopinni,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Bellimbopinni,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Bellimbopinni,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Bellimbopinni,Offensive language ,Alcohol Related ,0,0,0,0,0
Bellimbopinni,Offensive language ,Not Alcohol Related ,1,0,0,0,0
Bellingen,Domestic violence related assault ,Alcohol Related ,4,1,9,2,3
